meal_name,items,carbs,protein,calories,fats
Meal 21,"Chicken Curry,Boiled Rice,Wheat chapatti(1),Yogurt,",52,31.1,505,19.8
Meal 22,"Chicken Curry,Boiled Rice,Brown bread(1),Yogurt,",93,41.1,539,23.7
Meal 23,"Chicken Curry,Boiled Rice,Paratha(1),Yogurt,",99,38.1,561,25.4
Meal 24,"Chicken Curry,Boiled Rice,Wheat chapatti(2),Yogurt,",67,34.1,575,20.2
Meal 25,"Chicken Curry,Boiled Rice,Brown bread(2),Yogurt,",149,54.1,643,28
Meal 26,"Chicken Curry,Boiled Rice,Paratha(2),Yogurt,",161,48.1,687,31.4
Meal 27,"Chicken Curry,Boiled Rice,Wheat chapatti(3),Yogurt,",82,37.1,645,20.6
Meal 28,"Chicken Curry,Boiled Rice,Brown bread(3),Yogurt,",205,67.1,747,32.3
Meal 29,"Chicken Curry,Boiled Rice,Paratha(3),Yogurt,",223,58.1,813,37.4
Meal 30,"Chicken Curry,Boiled Rice,Yogurt,",37,28.1,435,19.4
Meal 31,"Chicken Curry,Boiled Rice,Wheat chapatti(1),Buttermilk,",49.5,28.8,460,16.9
Meal 32,"Chicken Curry,Boiled Rice,Brown bread(1),Buttermilk,",90.5,38.8,494,20.8
Meal 33,"Chicken Curry,Boiled Rice,Paratha(1),Buttermilk,",96.5,35.8,516,22.5
Meal 34,"Chicken Curry,Boiled Rice,Wheat chapatti(2),Buttermilk,",64.5,31.8,530,17.3
Meal 35,"Chicken Curry,Boiled Rice,Brown bread(2),Buttermilk,",146.5,51.8,598,25.1
Meal 36,"Chicken Curry,Boiled Rice,Paratha(2),Buttermilk,",158.5,45.8,642,28.5
Meal 37,"Chicken Curry,Boiled Rice,Wheat chapatti(3),Buttermilk,",79.5,34.8,600,17.7
Meal 38,"Chicken Curry,Boiled Rice,Brown bread(3),Buttermilk,",202.5,64.8,702,29.4
Meal 39,"Chicken Curry,Boiled Rice,Paratha(3),Buttermilk,",220.5,55.8,768,34.5
Meal 40,"Chicken Curry,Boiled Rice,Buttermilk,",34.5,25.8,390,16.5
Meal 41,"Chicken Curry,Boiled Rice,Wheat chapatti(1),Paneer (Cow’s milk),",50.2,46.3,710,36.6
Meal 42,"Chicken Curry,Boiled Rice,Brown bread(1),Paneer (Cow’s milk),",91.2,56.3,744,40.5
Meal 43,"Chicken Curry,Boiled Rice,Paratha(1),Paneer (Cow’s milk),",97.2,53.3,766,42.2
Meal 44,"Chicken Curry,Boiled Rice,Wheat chapatti(2),Paneer (Cow’s milk),",65.2,49.3,780,37
Meal 45,"Chicken Curry,Boiled Rice,Brown bread(2),Paneer (Cow’s milk),",147.2,69.3,848,44.8
Meal 46,"Chicken Curry,Boiled Rice,Paratha(2),Paneer (Cow’s milk),",159.2,63.3,892,48.2
Meal 47,"Chicken Curry,Boiled Rice,Wheat chapatti(3),Paneer (Cow’s milk),",80.2,52.3,850,37.4
Meal 48,"Chicken Curry,Boiled Rice,Brown bread(3),Paneer (Cow’s milk),",203.2,82.3,952,49.1
Meal 49,"Chicken Curry,Boiled Rice,Paratha(3),Paneer (Cow’s milk),",221.2,73.3,1018,54.2
Meal 50,"Chicken Curry,Boiled Rice,Paneer (Cow’s milk),",35.2,43.3,640,36.2
Meal 51,"Chicken Curry,Boiled Rice,Wheat chapatti(1),Paneer (Buffalo’s milk),",56.9,41.4,737,38.8
Meal 52,"Chicken Curry,Boiled Rice,Brown bread(1),Paneer (Buffalo’s milk),",97.9,51.4,771,42.7
Meal 53,"Chicken Curry,Boiled Rice,Paratha(1),Paneer (Buffalo’s milk),",103.9,48.4,793,44.4
Meal 54,"Chicken Curry,Boiled Rice,Wheat chapatti(2),Paneer (Buffalo’s milk),",71.9,44.4,807,39.2
Meal 55,"Chicken Curry,Boiled Rice,Brown bread(2),Paneer (Buffalo’s milk),",153.9,64.4,875,47
Meal 56,"Chicken Curry,Boiled Rice,Paratha(2),Paneer (Buffalo’s milk),",165.9,58.4,919,50.4
Meal 57,"Chicken Curry,Boiled Rice,Wheat chapatti(3),Paneer (Buffalo’s milk),",86.9,47.4,877,39.6
Meal 58,"Chicken Curry,Boiled Rice,Brown bread(3),Paneer (Buffalo’s milk),",209.9,77.4,979,51.3
Meal 59,"Chicken Curry,Boiled Rice,Paratha(3),Paneer (Buffalo’s milk),",227.9,68.4,1045,56.4
Meal 60,"Chicken Curry,Boiled Rice,Paneer (Buffalo’s milk),",41.9,38.4,667,38.4
Meal 61,"Chicken Curry,Boiled Rice,Wheat chapatti(1),Lassi,",52.2,33.7,514,16.3
Meal 62,"Chicken Curry,Boiled Rice,Brown bread(1),Lassi,",93.2,43.7,548,20.2
Meal 63,"Chicken Curry,Boiled Rice,Paratha(1),Lassi,",99.2,40.7,570,21.9
Meal 64,"Chicken Curry,Boiled Rice,Wheat chapatti(2),Lassi,",67.2,36.7,584,16.7
Meal 65,"Chicken Curry,Boiled Rice,Brown bread(2),Lassi,",149.2,56.7,652,24.5
Meal 66,"Chicken Curry,Boiled Rice,Paratha(2),Lassi,",161.2,50.7,696,27.9
Meal 67,"Chicken Curry,Boiled Rice,Wheat chapatti(3),Lassi,",82.2,39.7,654,17.1
Meal 68,"Chicken Curry,Boiled Rice,Brown bread(3),Lassi,",205.2,69.7,756,28.8
Meal 69,"Chicken Curry,Boiled Rice,Paratha(3),Lassi,",223.2,60.7,822,33.9
Meal 70,"Chicken Curry,Boiled Rice,Lassi,",37.2,30.7,444,15.9
Meal 71,"Chicken Curry,Pulao,Wheat chapatti(1),Milk (Cow),",47.4,32.2,520,23.1
Meal 72,"Chicken Curry,Pulao,Brown bread(1),Milk (Cow),",88.4,42.2,554,27
Meal 73,"Chicken Curry,Pulao,Paratha(1),Milk (Cow),",94.4,39.2,576,28.7
Meal 74,"Chicken Curry,Pulao,Wheat chapatti(2),Milk (Cow),",62.4,35.2,590,23.5
Meal 75,"Chicken Curry,Pulao,Brown bread(2),Milk (Cow),",144.4,55.2,658,31.3
Meal 76,"Chicken Curry,Pulao,Paratha(2),Milk (Cow),",156.4,49.2,702,34.7
Meal 77,"Chicken Curry,Pulao,Wheat chapatti(3),Milk (Cow),",77.4,38.2,660,23.9
Meal 78,"Chicken Curry,Pulao,Brown bread(3),Milk (Cow),",200.4,68.2,762,35.6
Meal 79,"Chicken Curry,Pulao,Paratha(3),Milk (Cow),",218.4,59.2,828,40.7
Meal 80,"Chicken Curry,Pulao,Milk (Cow),",32.4,29.2,450,22.7
Meal 81,"Chicken Curry,Pulao,Wheat chapatti(1),Milk (Buffalo),",48,33.3,570,25.5
Meal 82,"Chicken Curry,Pulao,Brown bread(1),Milk (Buffalo),",89,43.3,604,29.4
Meal 83,"Chicken Curry,Pulao,Paratha(1),Milk (Buffalo),",95,40.3,626,31.1
Meal 84,"Chicken Curry,Pulao,Wheat chapatti(2),Milk (Buffalo),",63,36.3,640,25.9
Meal 85,"Chicken Curry,Pulao,Brown bread(2),Milk (Buffalo),",145,56.3,708,33.7
Meal 86,"Chicken Curry,Pulao,Paratha(2),Milk (Buffalo),",157,50.3,752,37.1
Meal 87,"Chicken Curry,Pulao,Wheat chapatti(3),Milk (Buffalo),",78,39.3,710,26.3
Meal 88,"Chicken Curry,Pulao,Brown bread(3),Milk (Buffalo),",201,69.3,812,38
Meal 89,"Chicken Curry,Pulao,Paratha(3),Milk (Buffalo),",219,60.3,878,43.1
Meal 90,"Chicken Curry,Pulao,Milk (Buffalo),",33,30.3,500,25.1
Meal 91,"Chicken Curry,Pulao,Wheat chapatti(1),Yogurt,",46,32.1,513,23
Meal 92,"Chicken Curry,Pulao,Brown bread(1),Yogurt,",87,42.1,547,26.9
Meal 93,"Chicken Curry,Pulao,Paratha(1),Yogurt,",93,39.1,569,28.6
Meal 94,"Chicken Curry,Pulao,Wheat chapatti(2),Yogurt,",61,35.1,583,23.4
Meal 95,"Chicken Curry,Pulao,Brown bread(2),Yogurt,",143,55.1,651,31.2
Meal 96,"Chicken Curry,Pulao,Paratha(2),Yogurt,",155,49.1,695,34.6
Meal 97,"Chicken Curry,Pulao,Wheat chapatti(3),Yogurt,",76,38.1,653,23.8
Meal 98,"Chicken Curry,Pulao,Brown bread(3),Yogurt,",199,68.1,755,35.5
Meal 99,"Chicken Curry,Pulao,Paratha(3),Yogurt,",217,59.1,821,40.6
Meal 100,"Chicken Curry,Pulao,Yogurt,",31,29.1,443,22.6
Meal 101,"Chicken Curry,Pulao,Wheat chapatti(1),Buttermilk,",43.5,29.8,468,20.1
Meal 102,"Chicken Curry,Pulao,Brown bread(1),Buttermilk,",84.5,39.8,502,24
Meal 103,"Chicken Curry,Pulao,Paratha(1),Buttermilk,",90.5,36.8,524,25.7
Meal 104,"Chicken Curry,Pulao,Wheat chapatti(2),Buttermilk,",58.5,32.8,538,20.5
Meal 105,"Chicken Curry,Pulao,Brown bread(2),Buttermilk,",140.5,52.8,606,28.3
Meal 106,"Chicken Curry,Pulao,Paratha(2),Buttermilk,",152.5,46.8,650,31.7
Meal 107,"Chicken Curry,Pulao,Wheat chapatti(3),Buttermilk,",73.5,35.8,608,20.9
Meal 108,"Chicken Curry,Pulao,Brown bread(3),Buttermilk,",196.5,65.8,710,32.6
Meal 109,"Chicken Curry,Pulao,Paratha(3),Buttermilk,",214.5,56.8,776,37.7
Meal 110,"Chicken Curry,Pulao,Buttermilk,",28.5,26.8,398,19.7
Meal 111,"Chicken Curry,Pulao,Wheat chapatti(1),Paneer (Cow’s milk),",44.2,47.3,718,39.8
Meal 112,"Chicken Curry,Pulao,Brown bread(1),Paneer (Cow’s milk),",85.2,57.3,752,43.7
Meal 113,"Chicken Curry,Pulao,Paratha(1),Paneer (Cow’s milk),",91.2,54.3,774,45.4
Meal 114,"Chicken Curry,Pulao,Wheat chapatti(2),Paneer (Cow’s milk),",59.2,50.3,788,40.2
Meal 115,"Chicken Curry,Pulao,Brown bread(2),Paneer (Cow’s milk),",141.2,70.3,856,48
Meal 116,"Chicken Curry,Pulao,Paratha(2),Paneer (Cow’s milk),",153.2,64.3,900,51.4
Meal 117,"Chicken Curry,Pulao,Wheat chapatti(3),Paneer (Cow’s milk),",74.2,53.3,858,40.6
Meal 118,"Chicken Curry,Pulao,Brown bread(3),Paneer (Cow’s milk),",197.2,83.3,960,52.3
Meal 119,"Chicken Curry,Pulao,Paratha(3),Paneer (Cow’s milk),",215.2,74.3,1026,57.4
Meal 120,"Chicken Curry,Pulao,Paneer (Cow’s milk),",29.2,44.3,648,39.4
Meal 121,"Chicken Curry,Pulao,Wheat chapatti(1),Paneer (Buffalo’s milk),",50.9,42.4,745,42
Meal 122,"Chicken Curry,Pulao,Brown bread(1),Paneer (Buffalo’s milk),",91.9,52.4,779,45.9
Meal 123,"Chicken Curry,Pulao,Paratha(1),Paneer (Buffalo’s milk),",97.9,49.4,801,47.6
Meal 124,"Chicken Curry,Pulao,Wheat chapatti(2),Paneer (Buffalo’s milk),",65.9,45.4,815,42.4
Meal 125,"Chicken Curry,Pulao,Brown bread(2),Paneer (Buffalo’s milk),",147.9,65.4,883,50.2
Meal 126,"Chicken Curry,Pulao,Paratha(2),Paneer (Buffalo’s milk),",159.9,59.4,927,53.6
Meal 127,"Chicken Curry,Pulao,Wheat chapatti(3),Paneer (Buffalo’s milk),",80.9,48.4,885,42.8
Meal 128,"Chicken Curry,Pulao,Brown bread(3),Paneer (Buffalo’s milk),",203.9,78.4,987,54.5
Meal 129,"Chicken Curry,Pulao,Paratha(3),Paneer (Buffalo’s milk),",221.9,69.4,1053,59.6
Meal 130,"Chicken Curry,Pulao,Paneer (Buffalo’s milk),",35.9,39.4,675,41.6
Meal 131,"Chicken Curry,Pulao,Wheat chapatti(1),Lassi,",46.2,34.7,522,19.5
Meal 132,"Chicken Curry,Pulao,Brown bread(1),Lassi,",87.2,44.7,556,23.4
Meal 133,"Chicken Curry,Pulao,Paratha(1),Lassi,",93.2,41.7,578,25.1
Meal 134,"Chicken Curry,Pulao,Wheat chapatti(2),Lassi,",61.2,37.7,592,19.9
Meal 135,"Chicken Curry,Pulao,Brown bread(2),Lassi,",143.2,57.7,660,27.7
Meal 136,"Chicken Curry,Pulao,Paratha(2),Lassi,",155.2,51.7,704,31.1
Meal 137,"Chicken Curry,Pulao,Wheat chapatti(3),Lassi,",76.2,40.7,662,20.3
Meal 138,"Chicken Curry,Pulao,Brown bread(3),Lassi,",199.2,70.7,764,32
Meal 139,"Chicken Curry,Pulao,Paratha(3),Lassi,",217.2,61.7,830,37.1
Meal 140,"Chicken Curry,Pulao,Lassi,",31.2,31.7,452,19.1
Meal 141,"Chicken Curry,Khichadi,Wheat chapatti(1),Milk (Cow),",61.4,33.3,616,27.1
Meal 142,"Chicken Curry,Khichadi,Brown bread(1),Milk (Cow),",102.4,43.3,650,31
Meal 143,"Chicken Curry,Khichadi,Paratha(1),Milk (Cow),",108.4,40.3,672,32.7
Meal 144,"Chicken Curry,Khichadi,Wheat chapatti(2),Milk (Cow),",76.4,36.3,686,27.5
Meal 145,"Chicken Curry,Khichadi,Brown bread(2),Milk (Cow),",158.4,56.3,754,35.3
Meal 146,"Chicken Curry,Khichadi,Paratha(2),Milk (Cow),",170.4,50.3,798,38.7
Meal 147,"Chicken Curry,Khichadi,Wheat chapatti(3),Milk (Cow),",91.4,39.3,756,27.9
Meal 148,"Chicken Curry,Khichadi,Brown bread(3),Milk (Cow),",214.4,69.3,858,39.6
Meal 149,"Chicken Curry,Khichadi,Paratha(3),Milk (Cow),",232.4,60.3,924,44.7
Meal 150,"Chicken Curry,Khichadi,Milk (Cow),",46.4,30.3,546,26.7
Meal 151,"Chicken Curry,Khichadi,Wheat chapatti(1),Milk (Buffalo),",62,34.4,666,29.5
Meal 152,"Chicken Curry,Khichadi,Brown bread(1),Milk (Buffalo),",103,44.4,700,33.4
Meal 153,"Chicken Curry,Khichadi,Paratha(1),Milk (Buffalo),",109,41.4,722,35.1
Meal 154,"Chicken Curry,Khichadi,Wheat chapatti(2),Milk (Buffalo),",77,37.4,736,29.9
Meal 155,"Chicken Curry,Khichadi,Brown bread(2),Milk (Buffalo),",159,57.4,804,37.7
Meal 156,"Chicken Curry,Khichadi,Paratha(2),Milk (Buffalo),",171,51.4,848,41.1
Meal 157,"Chicken Curry,Khichadi,Wheat chapatti(3),Milk (Buffalo),",92,40.4,806,30.3
Meal 158,"Chicken Curry,Khichadi,Brown bread(3),Milk (Buffalo),",215,70.4,908,42
Meal 159,"Chicken Curry,Khichadi,Paratha(3),Milk (Buffalo),",233,61.4,974,47.1
Meal 160,"Chicken Curry,Khichadi,Milk (Buffalo),",47,31.4,596,29.1
Meal 161,"Chicken Curry,Khichadi,Wheat chapatti(1),Yogurt,",60,33.2,609,27
Meal 162,"Chicken Curry,Khichadi,Brown bread(1),Yogurt,",101,43.2,643,30.9
Meal 163,"Chicken Curry,Khichadi,Paratha(1),Yogurt,",107,40.2,665,32.6
Meal 164,"Chicken Curry,Khichadi,Wheat chapatti(2),Yogurt,",75,36.2,679,27.4
Meal 165,"Chicken Curry,Khichadi,Brown bread(2),Yogurt,",157,56.2,747,35.2
Meal 166,"Chicken Curry,Khichadi,Paratha(2),Yogurt,",169,50.2,791,38.6
Meal 167,"Chicken Curry,Khichadi,Wheat chapatti(3),Yogurt,",90,39.2,749,27.8
Meal 168,"Chicken Curry,Khichadi,Brown bread(3),Yogurt,",213,69.2,851,39.5
Meal 169,"Chicken Curry,Khichadi,Paratha(3),Yogurt,",231,60.2,917,44.6
Meal 170,"Chicken Curry,Khichadi,Yogurt,",45,30.2,539,26.6
Meal 171,"Chicken Curry,Khichadi,Wheat chapatti(1),Buttermilk,",57.5,30.9,564,24.1
Meal 172,"Chicken Curry,Khichadi,Brown bread(1),Buttermilk,",98.5,40.9,598,28
Meal 173,"Chicken Curry,Khichadi,Paratha(1),Buttermilk,",104.5,37.9,620,29.7
Meal 174,"Chicken Curry,Khichadi,Wheat chapatti(2),Buttermilk,",72.5,33.9,634,24.5
Meal 175,"Chicken Curry,Khichadi,Brown bread(2),Buttermilk,",154.5,53.9,702,32.3
Meal 176,"Chicken Curry,Khichadi,Paratha(2),Buttermilk,",166.5,47.9,746,35.7
Meal 177,"Chicken Curry,Khichadi,Wheat chapatti(3),Buttermilk,",87.5,36.9,704,24.9
Meal 178,"Chicken Curry,Khichadi,Brown bread(3),Buttermilk,",210.5,66.9,806,36.6
Meal 179,"Chicken Curry,Khichadi,Paratha(3),Buttermilk,",228.5,57.9,872,41.7
Meal 180,"Chicken Curry,Khichadi,Buttermilk,",42.5,27.9,494,23.7
Meal 181,"Chicken Curry,Khichadi,Wheat chapatti(1),Paneer (Cow’s milk),",58.2,48.4,814,43.8
Meal 182,"Chicken Curry,Khichadi,Brown bread(1),Paneer (Cow’s milk),",99.2,58.4,848,47.7
Meal 183,"Chicken Curry,Khichadi,Paratha(1),Paneer (Cow’s milk),",105.2,55.4,870,49.4
Meal 184,"Chicken Curry,Khichadi,Wheat chapatti(2),Paneer (Cow’s milk),",73.2,51.4,884,44.2
Meal 185,"Chicken Curry,Khichadi,Brown bread(2),Paneer (Cow’s milk),",155.2,71.4,952,52
Meal 186,"Chicken Curry,Khichadi,Paratha(2),Paneer (Cow’s milk),",167.2,65.4,996,55.4
Meal 187,"Chicken Curry,Khichadi,Wheat chapatti(3),Paneer (Cow’s milk),",88.2,54.4,954,44.6
Meal 188,"Chicken Curry,Khichadi,Brown bread(3),Paneer (Cow’s milk),",211.2,84.4,1056,56.3
Meal 189,"Chicken Curry,Khichadi,Paratha(3),Paneer (Cow’s milk),",229.2,75.4,1122,61.4
Meal 190,"Chicken Curry,Khichadi,Paneer (Cow’s milk),",43.2,45.4,744,43.4
Meal 191,"Chicken Curry,Khichadi,Wheat chapatti(1),Paneer (Buffalo’s milk),",64.9,43.5,841,46
Meal 192,"Chicken Curry,Khichadi,Brown bread(1),Paneer (Buffalo’s milk),",105.9,53.5,875,49.9
Meal 193,"Chicken Curry,Khichadi,Paratha(1),Paneer (Buffalo’s milk),",111.9,50.5,897,51.6
Meal 194,"Chicken Curry,Khichadi,Wheat chapatti(2),Paneer (Buffalo’s milk),",79.9,46.5,911,46.4
Meal 195,"Chicken Curry,Khichadi,Brown bread(2),Paneer (Buffalo’s milk),",161.9,66.5,979,54.2
Meal 196,"Chicken Curry,Khichadi,Paratha(2),Paneer (Buffalo’s milk),",173.9,60.5,1023,57.6
Meal 197,"Chicken Curry,Khichadi,Wheat chapatti(3),Paneer (Buffalo’s milk),",94.9,49.5,981,46.8
Meal 198,"Chicken Curry,Khichadi,Brown bread(3),Paneer (Buffalo’s milk),",217.9,79.5,1083,58.5
Meal 199,"Chicken Curry,Khichadi,Paratha(3),Paneer (Buffalo’s milk),",235.9,70.5,1149,63.6
Meal 200,"Chicken Curry,Khichadi,Paneer (Buffalo’s milk),",49.9,40.5,771,45.6
Meal 201,"Chicken Curry,Khichadi,Wheat chapatti(1),Lassi,",60.2,35.8,618,23.5
Meal 202,"Chicken Curry,Khichadi,Brown bread(1),Lassi,",101.2,45.8,652,27.4
Meal 203,"Chicken Curry,Khichadi,Paratha(1),Lassi,",107.2,42.8,674,29.1
Meal 204,"Chicken Curry,Khichadi,Wheat chapatti(2),Lassi,",75.2,38.8,688,23.9
Meal 205,"Chicken Curry,Khichadi,Brown bread(2),Lassi,",157.2,58.8,756,31.7
Meal 206,"Chicken Curry,Khichadi,Paratha(2),Lassi,",169.2,52.8,800,35.1
Meal 207,"Chicken Curry,Khichadi,Wheat chapatti(3),Lassi,",90.2,41.8,758,24.3
Meal 208,"Chicken Curry,Khichadi,Brown bread(3),Lassi,",213.2,71.8,860,36
Meal 209,"Chicken Curry,Khichadi,Paratha(3),Lassi,",231.2,62.8,926,41.1
Meal 210,"Chicken Curry,Khichadi,Lassi,",45.2,32.8,548,23.1
Meal 211,"Chicken Curry,Wheat chapatti(1),Milk (Cow),",28.4,29,401,19.7
Meal 212,"Chicken Curry,Brown bread(1),Milk (Cow),",69.4,39,435,23.6
Meal 213,"Chicken Curry,Paratha(1),Milk (Cow),",75.4,36,457,25.3
Meal 214,"Chicken Curry,Wheat chapatti(2),Milk (Cow),",43.4,32,471,20.1
Meal 215,"Chicken Curry,Brown bread(2),Milk (Cow),",125.4,52,539,27.9
Meal 216,"Chicken Curry,Paratha(2),Milk (Cow),",137.4,46,583,31.3
Meal 217,"Chicken Curry,Wheat chapatti(3),Milk (Cow),",58.4,35,541,20.5
Meal 218,"Chicken Curry,Brown bread(3),Milk (Cow),",181.4,65,643,32.2
Meal 219,"Chicken Curry,Paratha(3),Milk (Cow),",199.4,56,709,37.3
Meal 220,"Chicken Curry,Milk (Cow),",13.4,26,331,19.3
Meal 221,"Chicken Curry,Wheat chapatti(1),Milk (Buffalo),",29,30.1,451,22.1
Meal 222,"Chicken Curry,Brown bread(1),Milk (Buffalo),",70,40.1,485,26
Meal 223,"Chicken Curry,Paratha(1),Milk (Buffalo),",76,37.1,507,27.7
Meal 224,"Chicken Curry,Wheat chapatti(2),Milk (Buffalo),",44,33.1,521,22.5
Meal 225,"Chicken Curry,Brown bread(2),Milk (Buffalo),",126,53.1,589,30.3
Meal 226,"Chicken Curry,Paratha(2),Milk (Buffalo),",138,47.1,633,33.7
Meal 227,"Chicken Curry,Wheat chapatti(3),Milk (Buffalo),",59,36.1,591,22.9
Meal 228,"Chicken Curry,Brown bread(3),Milk (Buffalo),",182,66.1,693,34.6
Meal 229,"Chicken Curry,Paratha(3),Milk (Buffalo),",200,57.1,759,39.7
Meal 230,"Chicken Curry,Milk (Buffalo),",14,27.1,381,21.7
Meal 231,"Chicken Curry,Wheat chapatti(1),Yogurt,",27,28.9,394,19.6
Meal 232,"Chicken Curry,Brown bread(1),Yogurt,",68,38.9,428,23.5
Meal 233,"Chicken Curry,Paratha(1),Yogurt,",74,35.9,450,25.2
Meal 234,"Chicken Curry,Wheat chapatti(2),Yogurt,",42,31.9,464,20
Meal 235,"Chicken Curry,Brown bread(2),Yogurt,",124,51.9,532,27.8
Meal 236,"Chicken Curry,Paratha(2),Yogurt,",136,45.9,576,31.2
Meal 237,"Chicken Curry,Wheat chapatti(3),Yogurt,",57,34.9,534,20.4
Meal 238,"Chicken Curry,Brown bread(3),Yogurt,",180,64.9,636,32.1
Meal 239,"Chicken Curry,Paratha(3),Yogurt,",198,55.9,702,37.2
Meal 240,"Chicken Curry,Yogurt,",12,25.9,324,19.2
Meal 241,"Chicken Curry,Wheat chapatti(1),Buttermilk,",24.5,26.6,349,16.7
Meal 242,"Chicken Curry,Brown bread(1),Buttermilk,",65.5,36.6,383,20.6
Meal 243,"Chicken Curry,Paratha(1),Buttermilk,",71.5,33.6,405,22.3
Meal 244,"Chicken Curry,Wheat chapatti(2),Buttermilk,",39.5,29.6,419,17.1
Meal 245,"Chicken Curry,Brown bread(2),Buttermilk,",121.5,49.6,487,24.9
Meal 246,"Chicken Curry,Paratha(2),Buttermilk,",133.5,43.6,531,28.3
Meal 247,"Chicken Curry,Wheat chapatti(3),Buttermilk,",54.5,32.6,489,17.5
Meal 248,"Chicken Curry,Brown bread(3),Buttermilk,",177.5,62.6,591,29.2
Meal 249,"Chicken Curry,Paratha(3),Buttermilk,",195.5,53.6,657,34.3
Meal 250,"Chicken Curry,Buttermilk,",9.5,23.6,279,16.3
Meal 251,"Chicken Curry,Wheat chapatti(1),Paneer (Cow’s milk),",25.2,44.1,599,36.4
Meal 252,"Chicken Curry,Brown bread(1),Paneer (Cow’s milk),",66.2,54.1,633,40.3
Meal 253,"Chicken Curry,Paratha(1),Paneer (Cow’s milk),",72.2,51.1,655,42
Meal 254,"Chicken Curry,Wheat chapatti(2),Paneer (Cow’s milk),",40.2,47.1,669,36.8
Meal 255,"Chicken Curry,Brown bread(2),Paneer (Cow’s milk),",122.2,67.1,737,44.6
Meal 256,"Chicken Curry,Paratha(2),Paneer (Cow’s milk),",134.2,61.1,781,48
Meal 257,"Chicken Curry,Wheat chapatti(3),Paneer (Cow’s milk),",55.2,50.1,739,37.2
Meal 258,"Chicken Curry,Brown bread(3),Paneer (Cow’s milk),",178.2,80.1,841,48.9
Meal 259,"Chicken Curry,Paratha(3),Paneer (Cow’s milk),",196.2,71.1,907,54
Meal 260,"Chicken Curry,Paneer (Cow’s milk),",10.2,41.1,529,36
Meal 261,"Chicken Curry,Wheat chapatti(1),Paneer (Buffalo’s milk),",31.9,39.2,626,38.6
Meal 262,"Chicken Curry,Brown bread(1),Paneer (Buffalo’s milk),",72.9,49.2,660,42.5
Meal 263,"Chicken Curry,Paratha(1),Paneer (Buffalo’s milk),",78.9,46.2,682,44.2
Meal 264,"Chicken Curry,Wheat chapatti(2),Paneer (Buffalo’s milk),",46.9,42.2,696,39
Meal 265,"Chicken Curry,Brown bread(2),Paneer (Buffalo’s milk),",128.9,62.2,764,46.8
Meal 266,"Chicken Curry,Paratha(2),Paneer (Buffalo’s milk),",140.9,56.2,808,50.2
Meal 267,"Chicken Curry,Wheat chapatti(3),Paneer (Buffalo’s milk),",61.9,45.2,766,39.4
Meal 268,"Chicken Curry,Brown bread(3),Paneer (Buffalo’s milk),",184.9,75.2,868,51.1
Meal 269,"Chicken Curry,Paratha(3),Paneer (Buffalo’s milk),",202.9,66.2,934,56.2
Meal 270,"Chicken Curry,Paneer (Buffalo’s milk),",16.9,36.2,556,38.2
Meal 271,"Chicken Curry,Wheat chapatti(1),Lassi,",27.2,31.5,403,16.1
Meal 272,"Chicken Curry,Brown bread(1),Lassi,",68.2,41.5,437,20
Meal 273,"Chicken Curry,Paratha(1),Lassi,",74.2,38.5,459,21.7
